cnpj;cnpj_basico;matriz_filial;razao_social;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;cd_pais;nm_pais;cd_natureza_juridica;nm_natureza_juridica;data_inicio_atividades;cnae_fiscal;nm_cnae;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd1;telefone1;ddd2;telefone2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;qualificacao_responsavel;capital_social;capital_social_str;porte_empresa;ente_federativo_responsavel
00083439000125;00083439;1;ASSOCIACAO DOS OFICIAIS DA RESERVA DO EXERCITO - RIO DE JANEIRO - AORE/RJ;;02;20051103;00;;;;3999;Associação Privada;19940518;9312300;Clubes sociais, esportivos e similares;;AVENIDA;BRASIL;5292;;BONSUCESSO;21040361;RJ;6001;21;25323258;;;;;;;;16;0;0,00;05;
00085296000190;00085296;1;HOLLIDAY HOTEL CLUB;;04;20181002;63;;;;3999;Associação Privada;19940609;9312300;Clubes sociais, esportivos e similares;;RUA;PRES WASHINGTON LUIZ;150;;BOA ESPERANCA;33035310;MG;5155;;;;;;;;;;16;0;0,00;05;
00092381000186;00092381;1;ASSOCIACAO ATLETICA VETERANOS CLUBE DOS VINTE;;02;20051103;00;;;;3999;Associação Privada;19940608;9312300;Clubes sociais, esportivos e similares;;RUA;ADERBAL RAMOS DA SILVA;01;;CENTRO;88890000;SC;8119;;;;;;;;;;16;0;0,00;05;
00097386000100;00097386;1;CLUBE REC ESP DOS SUBTENENTES E SARGENTOS DA PMDF;CRESSPOM;02;20051103;00;;;;3999;Associação Privada;19730402;9312300;Clubes sociais, esportivos e similares;;;SCEN TRECHO 03 CONJUNTO 11 E 14;S/N;;ASA NORTE;70800200;DF;9701;061;2736070;;;;;;;;16;0;0,00;05;
00097386000282;00097386;2;CLUBE REC ESP DOS SUBTENENTES E SARGENTOS DA PMDF;CRESSPOM;02;20051103;00;;;;3999;Associação Privada;19950725;9312300;Clubes sociais, esportivos e similares;;;QND 28 LOTE 21 SALA;106;;TAGUATINGA;72110280;DF;9701;;;;;;;;;;16;0;0,00;05;
00097431000118;00097431;1;ESCOLINHAS LA VAI BOLA ESPORTES LTDA;;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19940623;9312300;Clubes sociais, esportivos e similares;;RUA;ENG TITO M FERNANDES;65;FRENTE;IPANEMA;91760110;RS;8801;;;;;;;;;;49;0;0,00;01;
00104190000197;00104190;1;CLUBE DE CACA E PESCA DE BRASILIA;CAPEB;02;20051103;00;;;;3999;Associação Privada;19760323;9312300;Clubes sociais, esportivos e similares;;;SCE  TRECHO;4;LOTES 2A E 2B;PLANO PILOTO;70310500;DF;9701;;;;;;;;;;16;0;0,00;05;
00105771000143;00105771;1;PONTA GROSSA ESPORTE CLUBE;PONTA GROSSA ESPORTE CLUBE;08;20200429;01;;;;3999;Associação Privada;19940705;9312300;Clubes sociais, esportivos e similares;;RUA;PADRE NOBREGA;265;TERREO;OFICINAS;84060000;PR;7777;;;;;;;;;;16;0;0,00;05;
00110446000179;00110446;1;CENTRO ESPORTIVO SHIGUEKI LTDA;;02;20051103;00;;;;2240;Sociedade Simples Limitada;19940622;9312300;Clubes sociais, esportivos e similares;;RUA;PEDRO JOSE PEREIRA;77;;BOSQUE DA SAUDE;04146040;SP;7107;;;;;;;;;;49;6000;6000,00;03;
00111435000103;00111435;1;CLUBE RECREATIVO FLAMBOYANT;CLUBE RECREATIVO FLAMBOYANT;02;20181119;00;;;;3999;Associação Privada;19710111;9312300;Clubes sociais, esportivos e similares;;SETOR;CENTRAL OESTE MODULOS;24A26;;GAMA;72491010;DF;9701;;;;;;;;;;16;0;0,00;05;
00119743000185;00119743;1;SOCIEDADE HIPICA DE BRASILIA;;02;20040710;00;;;;3999;Associação Privada;19710607;9312300;Clubes sociais, esportivos e similares;;SETOR;SHIP SETOR HIPICO AREA ESPECIAL CONJUNTO 08;S/N;;ASA SUL;70602900;DF;9701;61;32455382;;;61;3463127;;;;16;0;0,00;05;
00121555000191;00121555;1;PINHAIS ESPORTE CLUBE;;08;20150209;73;;;;3999;Associação Privada;19940725;9312300;Clubes sociais, esportivos e similares;;RUA;PEDRO IVO;27;;CENTRO;80010020;PR;7535;;;;;;;;;;16;0;0,00;05;
00130733000140;00130733;1;PIAUI ESPORTE CLUBE;;02;20181221;00;;;;3999;Associação Privada;19940729;9312300;Clubes sociais, esportivos e similares;;RUA;DOS BAROES;S/N;;USINA SANTANA;64095060;PI;1219;86;99604701;;;;;JACOB-JUNIOR@HOTMAIL.COM;;;16;0;0,00;05;
00130888000187;00130888;1;ESCOLA DE NATACAO GOLFINHO CENTER LTDA;;02;20051103;00;;;;2062;Sociedade Empresária Limitada;19940803;9312300;Clubes sociais, esportivos e similares;;RUA;03 - COHASERMA;000015;;VILA MENINO JESUS DE PRAGA;65072231;MA;0921;98;32311721;98;32311721;98;32311721;;;;49;50000;50000,00;01;
00131523000177;00131523;1;ASSOC RECREATIVA DOS EMPREGADOS DOS CORREIOS M. GERAIS;;02;20051103;00;;;;3999;Associação Privada;19940725;9312300;Clubes sociais, esportivos e similares;;AVENIDA;CEL VIRGILIO MACHADO;1595;;JARDIM ENCANTADO;33200000;MG;5425;;;;;;;;;;16;0;0,00;05;
00131523000258;00131523;2;ASSOC RECREATIVA DOS EMPREGADOS DOS CORREIOS M. GERAIS;ARMAZEM DA AREC;08;19960703;01;;;;3999;Associação Privada;19960605;4729601;Tabacaria;;RUA;BOAVENTURA;401;LOJA 203;AEROPORTO;31270020;MG;4123;;;;;;;;;;16;0;0,00;05;
00135435000143;00135435;1;CEDEMA - CENTRO DESPORTIVO E CULTURAL DO MARANHAO LTDA;CEDEMA;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19940803;9312300;Clubes sociais, esportivos e similares;;RUA;GLA ARTUR DE CARVALHO;155;;TURU;65066320;MA;0921;;;;;;;;;;49;0;0,00;05;
00142642000125;00142642;1;CLUBE RECREATIVO DE DOVERLANDIA;;02;19980728;00;;;;3999;Associação Privada;19940809;9312300;Clubes sociais, esportivos e similares;;AVENIDA;JUSCELINO F CARVALHO;S/N;QD 73 LT 09;ST CID DE CAMPOS;75855000;GO;9675;;;;;;;;;;16;0;0,00;05;
00146041000190;00146041;1;SOCIEDADE ESPORTIVA E RECREATIVA JUVENTUDE DO IGUACU;SERJI;02;20191108;00;;;;3999;Associação Privada;19940815;9312300;Clubes sociais, esportivos e similares;;RUA;LUIZ MUSSULINI;193;;CENTRO;85790000;PR;7489;45;32861050;45;32861026;;;;;;16;0;0,00;05;
00151706000154;00151706;1;COROATA FUTEBOL CLUBE;;08;20081231;71;;;;3999;Associação Privada;19940819;9312300;Clubes sociais, esportivos e similares;;AVENIDA;DR JOSE SARNEY;S/N;;CENTRO;65415000;MA;0769;;;;;;;;;;16;0;0,00;05;
00156019000121;00156019;1;PRACA DE ESPORTES JOSE QUEIROZ;;02;20200515;00;;;;3999;Associação Privada;19940818;9312300;Clubes sociais, esportivos e similares;;PRACA;SAO JOSE;S/N;;CENTRO;35694000;MG;5261;;;;;;;;;;16;0;0,00;05;
00177543000189;00177543;1;SOCIEDADE RECREATIVA AQUATICA E BENEFICENTE PRIMAVERA;SOCIEDADE RECREATIVA AQUATICA;02;20051103;00;;;;3999;Associação Privada;19850716;9312300;Clubes sociais, esportivos e similares;9319199;AVENIDA;BRASIL;711;;PARQUE CASTELANDIA;78850000;MT;9871;065;4981938;;;065;4981938;;;;16;0;0,00;05;
00178731000121;00178731;1;SOCIEDADE RECREATIVA COLIDER COUNTRY CLUB;;02;20070626;00;;;;3999;Associação Privada;19841029;9312300;Clubes sociais, esportivos e similares;;RUA;TELES PIRES;S/N;;CENTRO;78500000;MT;8979;;;;;;;;;;16;0;0,00;05;
00219180000105;00219180;1;NINA ESCOLA DE NATACAO LTDA;NINA ESCOLA DE NATACAO;02;20051103;00;;;;2062;Sociedade Empresária Limitada;19940928;9312300;Clubes sociais, esportivos e similares;;RUA;"AVE DA PAZ LOT 02,03;04";S/N;QDA 03;PQ SHALOM;65070540;MA;0921;;;;;;;;;;49;0;0,00;01;
00233544000101;00233544;1;FEDERACAO MATOGROSSENSE DE CICLISMO;FMTC;02;20210301;00;;;;3999;Associação Privada;19830519;9312300;Clubes sociais, esportivos e similares;;RUA;JOSE BONIFACIO;81;;DOM AQUINO;78015060;MT;9067;;;;;;;;;;16;0;0,00;05;
00236866000104;00236866;1;CLUBE PARQUE DAS AGUAS;;02;20051103;00;;;;3999;Associação Privada;19941010;9312300;Clubes sociais, esportivos e similares;;;LIN  AMADEU;S/N;LOTE 66;SEDE;95170010;RS;8655;;;;;;;;;;16;0;0,00;05;
00236866000287;00236866;2;CLUBE PARQUE DAS AGUAS;;02;19980728;00;;;;3999;Associação Privada;19970502;9312300;Clubes sociais, esportivos e similares;;RUA;RS 118;S/N;KM 36;ESTANCIA GRANDE;94480755;RS;8963;054;2683204;;;;;;;;16;0;0,00;05;
00236866000368;00236866;2;CLUBE PARQUE DAS AGUAS;;08;20010111;01;;;;3999;Associação Privada;19970619;9312300;Clubes sociais, esportivos e similares;;AVENIDA;CRISTOVAO COLOMBO;2430;;FLORESTA;90560002;RS;8801;;;;;;;;;;16;0;0,00;05;
00236866000449;00236866;2;CLUBE PARQUE DAS AGUAS;;02;19980728;00;;;;3999;Associação Privada;19970523;9312300;Clubes sociais, esportivos e similares;;RUA;CORONEL PENA DE MORAES;513;SALA 1006;CENTRO;95170010;RS;8655;054;2681655;;;;;;;;16;0;0,00;05;
00236866000520;00236866;2;CLUBE PARQUE DAS AGUAS;;02;20041002;00;;;;3999;Associação Privada;19970523;9312300;Clubes sociais, esportivos e similares;;RUA;TREZE DE MAIO;702;SALA 09;CENTRO;95084460;RS;8599;054;2681655;;;;;;;;16;0;0,00;05;
00237172000183;00237172;1;JARDIM AMERICA ESPORTE CLUBE;;02;20200109;00;;;;3999;Associação Privada;19830310;9312300;Clubes sociais, esportivos e similares;;RUA;C-180;S/N;QD 441 LT 17;JARDIM AMERICA;74465539;GO;9373;;;;;;;;;;16;0;0,00;05;
00237297000103;00237297;1;ARATINS COUNTRY CLUBE;;04;20180911;63;;;;3999;Associação Privada;19830711;9312300;Clubes sociais, esportivos e similares;;;LOC  ROD ARAG FILADELFIA;S/N;KM 4;RURAL;77816390;TO;9241;;;;;;;;;;16;0;0,00;05;
00238743000102;00238743;1;ASSOCIACAO BLOCO RECREATIVO MALUCO BELEZA;MALUCO BELEZA;08;20150209;73;;;;3999;Associação Privada;19941013;9312300;Clubes sociais, esportivos e similares;;AVENIDA;RUI BARBOSA;963;;GRACAS;52050000;PE;2531;;;;;;;;;;16;0;0,00;05;
00238750000104;00238750;1;ASSOCIACAO BLOCO RECREATIVO ALTERNATIVO DO RECIFE;NANA BANANA;08;20150209;73;;;;3999;Associação Privada;19941013;9312300;Clubes sociais, esportivos e similares;;RUA;CARLOS GOMES;965 A;;PRADO;50720110;PE;2531;;;;;;;;;;16;0;0,00;05;
00239127000168;00239127;1;GREMIO RECREATIVO E ESCOLA DE SAMBA UNIDOS DO JACARE;GREMIO RECREATIVO E ESCOLA DE SAMBA UNIDOS DO JACARE;02;20191025;00;;;;3999;Associação Privada;19941010;9312300;Clubes sociais, esportivos e similares;;RUA;ANA PITTELLA;587;;GLORIA;36240000;MG;5213;;;;;;;;;;16;0;0,00;05;
00243310000137;00243310;1;IRON MAN GYM LTDA;;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19941014;9312300;Clubes sociais, esportivos e similares;;RUA;RIO DE JANEIRO;1611;;LOURDES;30160042;MG;4123;;;;;;;;;;49;0;0,00;05;
00245546000102;00245546;1;CEARA COUNTRY CLUBE;;02;20050827;00;;;;3999;Associação Privada;19941014;9312300;Clubes sociais, esportivos e similares;;AVENIDA;BARAO DE STUDART;825;;ALDEOTA;60120000;CE;1389;;;;;;;;;;16;0;0,00;05;
00266497000194;00266497;1;GREMIO RECR ESCOLA DE SAMBA UNIDOS DO PORTO DA PEDRA;GRESUPP;02;20180912;00;;;;3999;Associação Privada;19931118;9312300;Clubes sociais, esportivos e similares;9493600;TRAVESSA;JOAO SILVA;84;;PORTO DA PEDRA;24436085;RJ;5897;21;27138118;;;;;ESBCONTABILIDADE@HOTMAIL.COM;;;16;0;0,00;05;
00274513000190;00274513;1;ESPORTE CLUBE LEAO 70;LEAO 70;04;20190321;63;;;;3999;Associação Privada;19890101;9312300;Clubes sociais, esportivos e similares;;RUA;MAJOR BARACCA;950;;PARQUE EDU CHAVES;02232000;SP;7107;11;62463108;11;62466232;11;62463108;;;;16;0;0,00;05;
00278978000110;00278978;1;ATLETICO CLUBE RIOVERDENSE;;02;20190607;00;;;;3999;Associação Privada;19840711;9312300;Clubes sociais, esportivos e similares;;AVENIDA;GERONIMO MARTINS;S/N;QD  36  LT  09;PQ BANDEIRANTE;75905820;GO;9571;062;6213570;;;062;6213570;www.wolney@dgmnet.com.br;;;10;0;0,00;05;
00278986000166;00278986;1;AFA - ASSOCIACAO DOS FUNCIONARIOS DA AGROVALE;A F A;02;20050827;00;;;;3999;Associação Privada;19840703;9312300;Clubes sociais, esportivos e similares;;AVENIDA;JOAO FRATARI;S/N;;ZONA SUBURBANA;75860000;GO;9563;64;36514825;64;84012680;64;36514825;univale@agrovale.com.br;;;13;0;0,00;05;
00294281000132;00294281;1;CLUBE RECREATIVO AGUAS CLARAS DE NIQUELANDIA;CRAC;02;20210108;00;;;;3999;Associação Privada;19941116;9312300;Clubes sociais, esportivos e similares;;;LOC  CHACARA AGUA CLARA;S/N;MARGEM E AV BRASIL;JARDIM ATLANTICO;76420000;GO;9489;;;;;;;;;;16;0;0,00;05;
00298393000161;00298393;1;ENGENHOS HOTEL THERMAS CLUB DE PARACATU;;04;20190124;63;;;;3999;Associação Privada;19941118;9312300;Clubes sociais, esportivos e similares;;RODOVIA;BR 040 KM 49,5;SN;;RODOVIA;38600001;MG;4939;;;;;;;;;;16;0;0,00;05;
00301043000107;00301043;1;SOCIEDADE ESPORTIVA FATIMA;;02;20200721;00;;;;3999;Associação Privada;19941031;9312300;Clubes sociais, esportivos e similares;;;LOC  FATIMA;SN;;INTERIOR;95300000;RS;8727;;;;;;;;;;16;0;0,00;05;
00307682000180;00307682;1;GREMIO RECREATIVO DOS FUNCIONARIOS DO INCOR E DA FUNDACAO ZERBINI;;02;19980728;00;;;;3999;Associação Privada;19941123;9312300;Clubes sociais, esportivos e similares;;AVENIDA;DR.ENEAS DE CARV.AGUIAR;44;2 AND.;CERQUEIRA CESAR;05403000;SP;7107;;;;;;;;;;16;0;0,00;05;
00321138000192;00321138;1;CENTRO EDUCACIONAL NACIONAL PORTO SEGURO LTDA S/C;;04;20181024;63;;;;2240;Sociedade Simples Limitada;19941128;8512100;Educação infantil - pré-escola;;RUA;EURICO DE AGUIAR;1003;;SANTA LUCIA;29056260;ES;5705;0027;03252677;;;;;;;;49;0;0,00;05;
00323764000118;00323764;1;SEIK - ACADEMIA DE GINASTICA EM GERAL LTDA;SEIK - ACADEMIA DE GINASTICA;08;20081231;71;;;;2062;Sociedade Empresária Limitada;19941201;9312300;Clubes sociais, esportivos e similares;;RUA;91;771;;SETOR SUL;74083150;GO;9373;;;;;;;;;;49;0;0,00;05;
00326645000119;00326645;1;CLUBE PRIMAVERA;;08;20081231;71;;;;3999;Associação Privada;19720102;9312300;Clubes sociais, esportivos e similares;;;QSC  17;S N;AREA ESPECIAL;TAGUATINGA;72016170;DF;9701;;;;;;;;;;16;0;0,00;05;
00332966000126;00332966;1;NUCLEO ESPORTIVO SULACAP - ACADEMIA DE FUTEBOL;;02;20201119;00;;;;3999;Associação Privada;19941123;9312300;Clubes sociais, esportivos e similares;4299501;PRACA;MARIO SARAIVA;48;;JARDIM SULACAP;21741100;RJ;6001;21;33611425;;;;;RM.VIANA@UOL.COM.BR;;;16;0;0,00;05;
00332985000152;00332985;1;FEDERACAO DE LUTA LIVRE ESPORTIVA DO ESTADO DO RJ;;04;20181017;63;;;;3999;Associação Privada;19941027;9312300;Clubes sociais, esportivos e similares;;RUA;JARDEL JERCOLIS;S/N;;CENTRO;20021150;RJ;6001;;;;;;;;;;16;0;0,00;05;
00338842000158;00338842;1;ASSOCIACAO FERROVIARIA DE SANTA INES - ASFER;ASFER;02;20200605;00;;;;3999;Associação Privada;19941212;9312300;Clubes sociais, esportivos e similares;;ESTRADA;BR 222;S/N;KM 382;SEDE;65300001;MA;0957;;;;;;;;;;16;0;0,00;05;
00353731000110;00353731;1;AGREMIACAO ESPORTIVA ITIBERE;;02;20190715;00;;;;3999;Associação Privada;19941213;9312300;Clubes sociais, esportivos e similares;;;LOC  ILHA DOS VALADARES;SN;;PARANAGUA;83252000;PR;7745;;;;;;;;;;16;0;0,00;05;
00371658000100;00371658;1;ASSOCIACAO RECREATIVA E DESPORTIVA TELESTAR;TELESTAR;08;20010214;01;;;;3999;Associação Privada;19740129;9312300;Clubes sociais, esportivos e similares;;;SAIN QUADRA 06;SN;VIA L 4;ASA NORTE;70310500;DF;9701;;;;;;;;;;10;0;0,00;05;
00373126000101;00373126;1;ASSOCIACAO DOS SERVIDORES DA SECRETARIA DE AGRICULTURA E ABASTECIMENTO DO DISTRITO FEDERAL - ARCEF;ARCEF;02;20010924;00;;;;3999;Associação Privada;19831118;9312300;Clubes sociais, esportivos e similares;;;LOC  SAIN PARQUE RURAL;S/N;;ASA NORTE;70310500;DF;9701;;;;;;;;;;16;0;0,00;05;
00376475000187;00376475;1;TAGUATINGA ESPORTE CLUBE;;04;20180904;63;;;;3999;Associação Privada;19740719;9312300;Clubes sociais, esportivos e similares;;;SACOMP TRECHO;02;LOTE 3265;TAGUATINGA;71920540;DF;9701;;;;;;;;;;16;0;0,00;05;
00379719000185;00379719;1;FEDERACAO BRASILIENSE DE BASQUETEBOL;FBB.;08;20150209;73;;;;3999;Associação Privada;19740702;9312300;Clubes sociais, esportivos e similares;;;ESTADIO MANE GARRINCHA;S/N;CENT DESP PRES MEDI;SETOR ESPORTE NORTE;70310500;DF;9701;;;;;;;;;;16;0;0,00;05;
00387465000147;00387465;1;IPANEMA PRAIA CLUBE-EMPREENDIMENTOS E SERVICOS RECREATIVOS SS LTDA;;02;20051103;00;;;;2240;Sociedade Simples Limitada;19931122;9312300;Clubes sociais, esportivos e similares;;RODOVIA;BR 376;S/N;KM 161;SEDE;87160000;PR;7675;;;;;;;;;;49;0;0,00;01;
00387465000228;00387465;2;IPANEMA PRAIA CLUBE-EMPREENDIMENTOS E SERVICOS RECREATIVOS SS LTDA;IPANEMA PRAIA CLUB;02;0;00;;;;2240;Sociedade Simples Limitada;19950629;9312300;Clubes sociais, esportivos e similares;;AVENIDA;BRASIL;4870;TERREO;CENTRO;87015280;PR;7691;44;32626520;;;;;;;;49;0;0,00;01;
00392907000143;00392907;1;ASSOCIACAO DE FUNCIONARIOS DA METALURGICA RIO GRANDE;;04;20210323;63;;;;3999;Associação Privada;19950117;9312300;Clubes sociais, esportivos e similares;;;LOTE B 12;S/N;;JARDIM GARCA;87600000;PR;7721;;;;;;;;;;16;0;0,00;05;
00406727000173;00406727;1;M C BARBOSA;FLEX GYM;04;20181205;63;;;;4014;Empresa Individual Imobiliária;19950126;9312300;Clubes sociais, esportivos e similares;;AVENIDA;ANTONIO COELHO DE CARVALHO;551;;CENTRO;68905160;AP;0605;;;;;;;;;;34;0;0,00;05;
00423087000100;00423087;1;CLUBE DO COMERCIO E INDUSTRIA DE TAGUATINGA;;04;20180904;63;;;;3999;Associação Privada;19760219;9312300;Clubes sociais, esportivos e similares;;SETOR;AREA ESPECIAL;22;SETOR C NORTE;TAGUATINGA;73340793;DF;9701;;;;;;;;;;16;0;0,00;05;
00424146000164;00424146;1;TROCA CARNAVALESCA MISTA VERDUREIRAS DE SAO JOSE;;02;20181108;00;;;;3999;Associação Privada;19950210;9312300;Clubes sociais, esportivos e similares;;RUA;DOS RAMOS;60;;SAO JOSE;50020000;PE;2531;;;;;;;;;;16;0;0,00;05;
00424331000159;00424331;1;AVARE WATER PARK;AVARE WATER PARK;08;20081231;71;;;;3999;Associação Privada;19950210;9312300;Clubes sociais, esportivos e similares;;RUA;DONA CARMEN DIAS FARIA;2111;;ALTO;18708030;SP;6189;;;;;;;;;;16;0;0,00;05;
00427619000187;00427619;1;CLAUDENIR JOSE DE TOLEDO;ACADEMIA CORPORES;04;20180904;63;;;;4014;Empresa Individual Imobiliária;19950213;9312300;Clubes sociais, esportivos e similares;;;CSD 01;S/N;LOTE 08 LOJA 01;TAGUATINGA;72025025;DF;9701;;;;;;;;;;34;0;0,00;05;
00441907000196;00441907;1;SOBRADINHO ESPORTE CLUBE;BOTAFOGO;02;20051103;00;;;;3999;Associação Privada;19760308;9312300;Clubes sociais, esportivos e similares;;QUADRA;09 AREA ESPECIAL 07 MODULO A,B,C;S/N;;SOBRADINHO;73035090;DF;9701;61;33878763;;;;;;;;16;0;0,00;05;
00442129000150;00442129;1;SOCIEDADE ESPORTIVA DO GAMA;S E GAMA;02;20051103;00;;;;3999;Associação Privada;19760310;9312300;Clubes sociais, esportivos e similares;;CHACARA;PONTE ALTA NORTE;SN;CHACARA 08                AVENIDA DO SOL;PONTE ALTA NORTE (GAMA);72427010;DF;9701;61;33840048;;;;;;;;16;0;0,00;05;
